,km,delta_year,target,lower,upper,90 percentile variation
166,0.11923866878094663,5,137093562.0,92114922.0,182072202.0,-33.0
32,-0.48173194038957484,5,137093562.0,92114922.0,182072202.0,-33.0
230,1.9265291528256296,9,92114922.0,47136282.0,137093562.0,-49.0
30,-0.3748051478508198,5,137093562.0,92114922.0,182072202.0,-33.0
201,1.392333055785166,6,137093562.0,92114922.0,182072202.0,-33.0
285,2.3273732651499675,13,137093562.0,92114922.0,182072202.0,-33.0
114,0.4840902244030501,4,137093562.0,92114922.0,182072202.0,-33.0
49,-0.7009493797201553,7,137093562.0,92114922.0,182072202.0,-33.0
59,-1.0938681237195487,9,92114922.0,47136282.0,137093562.0,-49.0
220,-0.33714870166600025,3,137093562.0,92114922.0,182072202.0,-33.0
221,0.38832900602374737,8,92114922.0,47136282.0,137093562.0,-49.0
133,-0.7414957392168331,2,137093562.0,92114922.0,182072202.0,-33.0
109,-0.3139637153231375,3,137093562.0,92114922.0,182072202.0,-33.0
31,-0.48173194038957484,5,137093562.0,92114922.0,182072202.0,-33.0
246,-0.3907653509140369,5,137093562.0,92114922.0,182072202.0,-33.0
69,-0.26459436291222577,7,137093562.0,92114922.0,182072202.0,-33.0
243,-1.1358594398721555,8,137093562.0,92114922.0,182072202.0,-33.0
58,-0.7322348806492873,5,137093562.0,92114922.0,182072202.0,-33.0
22,1.3791970861858105,11,92114922.0,47136282.0,137093562.0,-49.0
207,0.3130599002194394,3,182072202.0,137093562.0,227050842.0,-25.0
51,-1.1323565146456607,8,137093562.0,92114922.0,182072202.0,-33.0
125,0.8099717368803985,13,92114922.0,47136282.0,137093562.0,-49.0
97,-0.9195975937014302,3,182072202.0,137093562.0,227050842.0,-25.0
203,-1.35744135373062,0,182072202.0,137093562.0,227050842.0,-25.0
157,-0.19057317421985664,3,182072202.0,137093562.0,227050842.0,-25.0
93,2.1030765842409695,6,137093562.0,92114922.0,182072202.0,-33.0
6,-0.9434612718069264,6,137093562.0,92114922.0,182072202.0,-33.0
47,-0.7553979737094845,2,182072202.0,137093562.0,227050842.0,-25.0
134,-0.8518816704167518,3,182072202.0,137093562.0,227050842.0,-25.0
56,-1.1306707318804101,10,92114922.0,47136282.0,137093562.0,-49.0
126,-1.1522137220233535,3,182072202.0,137093562.0,227050842.0,-25.0
175,0.3494465360096546,5,137093562.0,92114922.0,182072202.0,-33.0
148,-0.2142835993466936,5,137093562.0,92114922.0,182072202.0,-33.0
111,0.1750665395782082,8,92114922.0,47136282.0,137093562.0,-49.0
238,-0.8987770818864516,6,137093562.0,92114922.0,182072202.0,-33.0
214,-0.043866287077719494,3,92114922.0,47136282.0,137093562.0,-49.0
183,-0.5911983537175387,4,137093562.0,92114922.0,182072202.0,-33.0
155,-0.5667435569800716,3,137093562.0,92114922.0,182072202.0,-33.0
250,-0.6622420559673873,5,137093562.0,92114922.0,182072202.0,-33.0
261,0.11567006370645501,6,137093562.0,92114922.0,182072202.0,-33.0
194,0.10249030754176816,3,137093562.0,92114922.0,182072202.0,-33.0
190,-0.8495171958888678,7,137093562.0,92114922.0,182072202.0,-33.0
67,-0.1813561022176421,8,92114922.0,47136282.0,137093562.0,-49.0
171,0.41922042786489877,7,137093562.0,92114922.0,182072202.0,-33.0
38,0.6129321928900635,8,92114922.0,47136282.0,137093562.0,-49.0
286,1.247837390192254,8,92114922.0,47136282.0,137093562.0,-49.0
289,0.1750665395782082,7,137093562.0,92114922.0,182072202.0,-33.0
165,2.3853247843657917,9,137093562.0,92114922.0,182072202.0,-33.0
112,0.4356184965814277,10,92114922.0,47136282.0,137093562.0,-49.0
2,-0.9705432624642646,3,182072202.0,137093562.0,227050842.0,-25.0
225,1.2697306728578466,8,92114922.0,47136282.0,137093562.0,-49.0
137,-1.1843968475417748,2,182072202.0,137093562.0,227050842.0,-25.0
195,0.05710553257599435,7,137093562.0,92114922.0,182072202.0,-33.0
52,-0.8368409852254896,3,137093562.0,92114922.0,182072202.0,-33.0
48,0.11376534811454844,6,137093562.0,92114922.0,182072202.0,-33.0
161,1.1635482519297218,9,92114922.0,47136282.0,137093562.0,-49.0
181,4.1158574193849065,9,92114922.0,47136282.0,137093562.0,-49.0
120,0.19069834340144143,3,137093562.0,92114922.0,182072202.0,-33.0
277,1.0366328923172805,3,137093562.0,92114922.0,182072202.0,-33.0
78,-0.4783165882937424,6,137093562.0,92114922.0,182072202.0,-33.0
235,-0.37226552706161103,6,137093562.0,92114922.0,182072202.0,-33.0
271,-0.5007353097433094,3,182072202.0,137093562.0,227050842.0,-25.0
269,-0.9559842294916454,2,182072202.0,137093562.0,227050842.0,-25.0
84,0.1416792835131792,5,137093562.0,92114922.0,182072202.0,-33.0
255,-0.015952351679088716,6,137093562.0,92114922.0,182072202.0,-33.0
36,0.34719152789509855,10,92114922.0,47136282.0,137093562.0,-49.0
40,1.2916239555234394,6,137093562.0,92114922.0,182072202.0,-33.0
141,-0.8982297498198117,4,137093562.0,92114922.0,182072202.0,-33.0
251,-0.05349933145058031,7,137093562.0,92114922.0,182072202.0,-33.0
244,-1.1276275655898926,4,137093562.0,92114922.0,182072202.0,-33.0
83,0.2925240010791134,8,92114922.0,47136282.0,137093562.0,-49.0
100,-1.1385304203573579,2,182072202.0,137093562.0,227050842.0,-25.0
279,1.598129912841738,11,92114922.0,47136282.0,137093562.0,-49.0
